FIRST NAME,LAST NAME,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,BIRTH CITY,BIRTH STATE,HOMETOWN CITY,HOMETOWN STATE,CURRENT RESIDENCE,CURRENT STATE,SCHOOL/COLLEGE
Cale,Simmons,M,Track and Field,Pole Vault,none,"6'0""",145,1991-02-05,Oklahoma City,OK,Rocklin,CA,Colorado Springs,CO,"Air Force Academy '13, Science"
Sarah,Scherer,F,Shooting,Air,2012- 7th,"5'7""",137,1991-02-12,Salt Lake City,UT,Woburn,MA,Colorado Springs,CO,"Texas Christian University ‘13, Nutrition"
Lauren,Doyle,F,Rugby,Wing / Full-Back,none,"5'6""",150,1991-02-23,Springfield,IL,Boody,IL,Chula Vista,CA,"Eastern Illinois University '14, Marketing"
Alex,Naddour,M,Gymnastics,Artistic – Team,none,"5'7""",155,1991-03-04,Mesa,AZ,Gilbert,AZ,Queen Creek,AZ,"University of Oklahoma, Business"
Amanda,Elmore,F,Rowing,Women's Eight,none,"5'11""",175,1991-03-13,West Lafayette,IN,West Lafayette,IN,West Lafayette,IN,"Purdue University '13, Biology"
Ameer,Webb,M,Track and Field,200m,none,"5'11""",180,1991-03-19,Harbor City,CA,Harbor City,CA,Apple Valley,CA,"Texas A&M University, Criminal Justice"
Alev,Kelter,F,Rugby,Scrum Half,none,"5'6""",165,1991-03-21,Tampa,FL,Eagle River,AK,San Diego,CA,"University of Wisconsin ’15, Fine Arts"
Robby,Andrews,M,Track and Field,"1,500m",none,"5'10""",145,1991-03-29,Staten Island,NJ,Manalapan,NJ,Manalapan,NJ,"University of Virginia '14, Kinesiology"
Katie,Meili,F,Swimming,100m Breast,none,"5'7""",135,1991-04-16,Carrollton,TX,Colleyville,TX,Charlotte,NC,"Columbia University '13, Psychology"
Connor,Jaeger,M,Swimming,"400m Free, 1,500m Free",2012-6th,"6'1""",170,1991-04-30,Hackensack,NJ,Fair Haven,NJ,Fair Haven,NJ,"University of Michigan ‘14, Mechanical Engineer"
Amy,Cozad,F,Diving,10m Synchro,none,"5'3""",113,1991-05-06,Indianapolis,IN,Indianapolis,IN,Indianapolis,IN,"Indiana University '13, Mathematics"
David,Verburg,M,Track and Field,400m,none,"5'8""",155,1991-05-14,Gainesville,FL,Lynchburg,VA,Gainesville,FL,"George Mason '13, Sports Management"
Josh,Konieczny,M,Rowing,Lightweight Men's Double Sculls,none,"5'11""",165,1991-05-26,Toledo,OH,Millbury,OH,Somerville,MA,"Dartmouth College '13, Ecnomics"
Logan,Cunningham,M,Track and Field,Pole Vault,none,"5'9""",160,1991-05-30,Nacogdoches,TX,Smithson Valley,TX,San Marcos,TX,"Texas State University '14, Nutrition and Foods"
Will,Claye,M,Track and Field,Triple Jump,"2012-S, B","5'11""",160,1991-06-13,Tucson,AZ,Phoenix,AZ,Gainesville,FL,Oklahoma '10/Florida '12
Christina,Epps,F,Track and Field,Triple Jump,none,"5'9""",145,1991-06-20,Bronx,NY,Morristown,NJ,Baltimore,MD,"Coppin State University '13, Psychology"
Andrea,Geubelle,F,Track and Field,Triple Jump,none,"5'4""",128,1991-06-26,Lakewood,WA,University Place,WA,University Place,WA,"University of Kansas, Community Health/Pre-Nursing"
Hassan,Mead,M,Track and Field,"5,000m",none,"6'2""",145,1991-06-28,Borama,Somalia,Eugene,OR,Eugene,OR,"University of Minnesota '11, Communications"
Josh,Samuels,M,Water Polo,Attacker,none,"6'4""",210,1991-07-08,Newport Beach,CA,Villa Park,CA,Villa Park,CA,UCLA 2013
Tom,Shields,M,Swimming,200m Fly,none,"6'4""",190,1991-07-11,Panama City,FL,Huntington Beach,CA,Berkeley,CA,"University of California - Berkeley '15, Religious Studies"
Bui,Baravilala,F,Rugby,Full-back,none,"5'6""",165,1991-07-12,Honolulu,HI,Honolulu,HI,Chula Vista,CA,"Radford High School (Honolulu, Hawaii) '09"
Julia,Reinprecht,F,Field Hockey,Defender,2012,"5'3""",123,1991-07-12,Philadelphia,PA,Perkasie,PA,Perkasie,PA,Princeton University - Politics (2014 grad)
Jake,Dalton,M,Gymnastics,Artistic – Team,2012-5th,"5'5""",150,1991-07-22,Oak Lawn,IL,Sparks,NV,Gilbert,AZ,"University of Oklahoma '14, Human Relations"
Timothy,Wang,M,Table Tennis,Singles,2012,"5'9""",141,1991-08-17,Houston,TX,Houston,TX,Houston,TX,"Kerr High School (Houston, Texas) '09"
Brianna,Rollins,F,Track and Field,100m Hurdles,none,"5'5""",130,1991-08-18,Miami,FL,Miami,FL,Canoga,CA,Clemson University '13
Sam,Dorman,M,Diving,3m Synchro,none,"5'9""",170,1991-08-30,Miami,FL,Tempe,AZ,Miami,FL,"University of Miami '15, Mechanical Engineering"
Sam,Dommer,M,Rowing,Men's Eight,none,"6'2""",202,1991-09-04,Roseville,CA,Folsom,CA,Princeton,NJ,University of Washington '14 Electcrial Engineering
Cammile,Adams,F,Swimming,200m Fly,2012,"5'8""",143,1991-09-11,Houston,TX,Houston,TX,Charlotte,NC,Texas A&M - Education (2014 grad)
Helen,Maroulis,F,Wrestling,Freestyle 53 kg.,none,"5'4""",125,1991-09-19,Olney,MD,Rocky Point,MD,Rockville,MD,"Simon Fraser, Missouri Baptist"
Louisa,Chafee,F,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'5""",125,1991-09-24,Providence,RI,Warwick,RI,Warwick,RI,Brown University
Maka,Unufe,M,Rugby,Wing,none,"6'2""",205,1991-09-28,Chula Vista,CA,Provo,UT,Chula Vista,CA,"Provo High School (Provo,  Utah)"
Jill,Witmer,F,Field Hockey,Striker,none,5'2',116,1991-10-01,Lancaster,PA,Lancaster,PA,Washington Boro,PA,University of Maryland - Family Sciences (2014 grad)
Kelsey,Kolojejchick,F,Field Hockey,Striker,none,"5'3""",135,1991-10-02,Kingston,PA,Larksville,PA,Larksville,PA,University of North Carolina - Communications (2013 grad)
Margaux,Isaksen,F,Pentathlon,Women's,2008; 2012,"5'10""",134,1991-10-07,Fayetteville,AR,Fayetteville,AR,Colorado Springs,CO,"Fayetteville High School (Fayetteville, Ark.) '10"
Colton,Brown,M,Judo,90 kg.,none,"6'0""",200,1991-10-08,San Jose,CA,Piscataway,NJ,San Jose,CA,San Jose State University
Kathryn,Johnson,F,Rugby,Center,none,"5'10""",153,1991-10-25,Minneapolis,MN,Hopkins,MN,Hopkins,MN,University of Wisconsin-Milwaukee
Danell,Leyva,M,Gymnastics,Artistic – Team,"2012-B, 5th","5'7""",150,1991-10-30,Cardenas,Cuba,Homestead,FL,Homestead,FL,Homeschooled  '10
Haley,Anderson,F,Swimming,10K Open Water,2012-Silver,"5'10""",150,1991-11-20,Santa Clara,CA,Granite Bay,CA,Manhattan,CA,University of Southern California - Communications (2013)
Garrett,Bender,M,Rugby,Forward,none,"6'4""",230,1991-12-02,Minneapolis,MN,Minneapolis,MN,Minneapolis,MN,"Minneapolis Washburn (Miinneapolis, Minn.) '10"
Alex,Obert,M,Water Polo,Center,none,"6'5""",233,1991-12-18,Yorba Linda,CA,Loomis,CA,Loomis,CA,Pacific 2015
Melanie,Margalis,F,Swimming,"200 IM, 4x200 Free",none,"5'8""",144,1991-12-30,Clearwater,FL,Clearwater,FL,Clearwater,FL,"University of Georgia '14, Fashion Merchandising"
Sam,Crouser,M,Track and Field,Javelin Throw,none,"6'6""",230,1991-12-31,Gresham,OR,Gresham,OR,Gresham,OR,"University of Oregon '15, Sociology"
Will,Brown,M,Shooting,Air,none,"5'7""",135,1991-12-31,Twin Falls,ID,Twin Falls,ID,Twin Falls,ID,"University of Colorado – Colorado Springs, Mechanical Engineering"
Tavis,Bailey,M,Track and Field,Discus Throw,none,"6'3""",275,1992-01-06,Poughkeepsie,NY,Kannapolis,NC,Knoxville,TN,"University of Tennessee, '16, MBA Sport Management"
Cody,Miller,M,Swimming,100m Breast,none,"5'11""",175,1992-01-09,Billings,MT,Las Vegas,NV,Bloomington,IN,"Indiana University '15, Business Management"
Katrina,Young,F,Diving,10m Individual,none,"5'4""",132,1992-01-10,Shoreline,WA,Seattle,WA,Tallahassee,FL,"Florida State University '14, Commercial Music"
Marielle,Hall,F,Track and Field,"10,000m",none,5'3,112,1992-01-28,Philadelphia,PA,Mount Laurel,NJ,Mount Laurel,NJ,"University of Texas '14, Government"
Andrew,"Campbell, Jr.",M,Rowing,Lightweight Men's Double Sculls,none,"5'10""",155,1992-02-02,Barrington,IL,Cambridge,MA,Cambridge,MA,Harvard University
Nana,Fa'avesi,F,Rugby,Prop,none,"5'6""",161,1992-02-05,Salinas,CA,Sacramento,CA,Chula Vista,CA,"Luther Burbank High School (Sacramento, Calif.) ‘10"
Molly,Hannis,F,Swimming,200m Breast,none,"5'6""",155,1992-03-13,Santa Rosa,CA,Santa Rosa,CA,Knoxville,TN,"University of Tennessee '15, Recreation Sports Management"
Taylor,Sander,M,Indoor Volleyball,Outside Hitter,none,6-4,190,1992-03-17,Fountain Valley,CA,Corona,CA,Huntington Beach,CA,BYU
Kyrie,Irving,M,Basketball,Guard,none,"6'3""",193,1992-03-23,Kew,Australia,West Orange,NJ,Cleveland,OH,Duke University
Julie,Johnston,F,Soccer,Defenseman,none,"5'7""",144,1992-04-06,Phoenix,AZ,Mesa,AZ,Mesa,AZ,"Santa Clara Univeristy '14, Communication"
Corben,Sharrah,M,Cycling,BMX - Men's,none,"6'0""",188,1992-04-20,Tuscon,AZ,Tucson,AZ,Tuscon,AZ,"University of Arizona '18, Science"
English,Gardner,F,Track and Field,100m,none,"5'6""",120,1992-04-22,Philadelphia,PA,Voorhees,NJ,Lumberton,NJ,"University of Oregon '13, Social Sciences"
Phyllis,Francis,F,Track and Field,400m,none,"5'11""",158,1992-05-04,New York,NY,Bryan,TX,Bryan,TX,"University of Oregon '14, Social Sciences"
Kaleigh,Gilchrist,F,Water Polo,Attacker,none,"5'9""",170,1992-05-16,Newport Beach,CA,Newport Beach,CA,Newport Beach,CA,USC 2014
Austin,Hack,M,Rowing,Men's Eight,none,"6'8""",220,1992-05-17,Springfield,MA,Old Lyme,CT,Princeton,NJ,"Stanford University '14, Political Science"
Nathan,Schrimsher,M,Pentathlon,Men's,none,"6'2""",174,1992-05-22,Roswell,NM,Roswell,NM,Colorado Springs,CO,Eastern New Mexico State University '10
Abbey,D'Agostino,F,Track and Field,5000m,none,5'3,110,1992-05-25,Boston,MA,Topsfield,MA,Brighton,MA,Dartmouth University '14
Harrison,Barnes,M,Basketball,Forward,none,"6'8""",225,1992-05-30,Ames,IA,Ames,IA,Dallas,TX,University of North Carolina
Sami,Hill,F,Water Polo,Goalkeeper,none,"6'0""",197,1992-06-08,Honolulu,HI,Santa Barbara,CA,Santa Barbara,CA,UCLA 2015
Jesse,Thielke,M,Wrestling,Greco-Roman 59 kg.,none,"5'7""",150,1992-06-09,West Bend,WI,Germantown,WI,Colorado Springs,CO,Wisconsin
Helena,Scutt,F,Sailing,49erFX (Two-Person High Performance Skiff),None,"5'7""",145,1992-06-15,Cheltenham,United Kingdom,Kirkland,WA,Kirland,WA,Stanford University - Biomechanical Engineering (2014)
Kelsey,Robinson,F,Indoor Volleyball,Outside Hitter,none,"6'2""",155,1992-06-25,Elmhurt,IL,Bartlett,IL,Bartlett,IL,University of Nebraska
Crystal,Dunn,F,Soccer,Midfield,none,"5'2""",123,1992-07-03,Queens,NY,Rockville Centre,NY,Rockville Centre,NY,"University of North Carolina ’14, Sociology"
Sandi,Morris,F,Track and Field,Pole Vault,none,"5'8""",137,1992-07-08,Downers Grove,IL,Greenville,SC,Fayetteville,AR,"University of Arkansas '15, Broadcast Journalism"
Sean,Ryan,M,Swimming,10K Open Water,None,"6'3""",170,1992-08-13,Augusta,GA,Chattanooga,TN,Ann Arbor,MI,University of Michigan - Mechanical Engineering (2014)
Nzingha,Prescod,F,Fencing,Foil,2012,"5'4""",138,1992-08-14,New York,NY,Brooklyn,NY,Brooklyn,NY,"Columbia University '15, Political Science w / Concentration in Race & Ethnicity"
Denis,Kudla,M,Tennis,Singles,none,"5'11""",175,1992-08-17,Kiev,Ukraine,Arlington,VA,Tampa,FL,"Laurel Springs High School (College Park, Maryland) '10"
Elizabeth,Beisel,F,Swimming,400m IM,"2008; 2012-S,B","5'6""",146,1992-08-18,Saunderstown,RI,Saunderstown,RI,Gainesville,FL,University of Florida - Communications (2014 grad)
Kelsey,Card,F,Track and Field,Discus Throw,none,"5'10""",255,1992-08-20,Springfield,IL,Carlinville,IL,Madison,WI,"University of Wisconsin '16, Human Development and Family Studies"
Sam,Kendricks,M,Track and Field,Pole Vault,none,"6'1""",175,1992-09-07,Oceanside,CA,Oxford,MS,Oxford,MS,University of Mississippi
Connor,Fields,M,Cycling,BMX - Men's,2012-7th,"6'0""",195,1992-09-14,Plano,TX,Las Vegas,NV,Henderson,NV,"University of Nevada - Las Vegas '18, Marketing"
Sam,Mikulak,M,Gymnastics,Artistic – Team,2012,"5'5""",140,1992-10-13,Corona del Mar,CA,Newport Beach,CA,Colorado Springs,CO,"University of Michigan '14, Psychology"
Kristian,Ipsen,M,Diving,3m Individual,2012-B,"5'7""",160,1992-10-20,Walnut Creek,CA,Clayton,CA,Clayton,CA,"Stanford University '15, Science, Technology and Society"
Lucy,Davis,F,Equestrian,Jumping,none,"5'5""",122,1992-10-22,Los Angeles,CA,Los Angeles,CA,Los Angeles,CA,"Stanford University '15, Architectural Design"
Madison,Hughes,M,Rugby,Scrum Half,none,"5'8""",175,10/26/1992,Epsom,United Kingdom,Lancaster,MA,San Diego,CA,"Dartmouth College '15, History"
Anders,Weiss,M,Rowing,Men's Pair,none,"6'5""",205,1992-11-05,Providence,RI,Barrington,RI,Barrington,RI,"Brown University '16, Economics"
Daniel,Lowe,M,Shooting,Air,none,"6'0""",180,1992-11-18,Federal Way,WA,Olympia,WA,Fort Benning,GA,"(Olympia, Wash.) '12"
Jenna,Prandini,F,Track and Field,200m,none,"5'8""",132,1992-11-20,Fresno,CA,Clovis,CA,Eugene,OR,"University of Oregon '16, Business and Economics"
Colleen,Quigley,F,Track and Field,3000m Steeplechase,none,"5'9""",135,1992-11-20,St. Louis,MO,St. Louis,MO,Portland,OR,"Florida State University '15, Dietetics"
Ben,Kanute,M,Triathlon,Men's,none,"6'0""",155,1992-12-14,Winfield,IL,Geneva,IL,Geneva,IL,"University of Arizona '14, Phsiology"
Ryan,Crouser,M,Track and Field,Shot put,none,"6'7""",275,1992-12-18,Portland,OR,Boring,OR,Redmond,OR,"University of Texas '15, Economics"
Boris,Berian,M,Track and Field,800m,none,"6'0""",153,1992-12-19,Colorado Springs,CO,Colorado Springs,CO,Rancho Cucamonga,CA,"Adams State University, Education and Coaching"
Howard,Grotts,M,Cycling,Mountain - Men's,none,"5'7""",130,1993-01-12,Durango,CO,Durango,CO,Durango,CO,"Fort Lewis College '14, Mathematics"
Courtney,Frerichs,F,Track and Field,3000m Steeplechase,none,"5'7""",118,1993-01-18,Barrington,IL,Nixa,MO,Nixa,MO,"University of New Mexico '17, M.S. community Health"
Karsta,Lowe,F,Indoor Volleyball,Opposite,none,"6'4""",180,1993-02-02,San Diego,CA,San Diego,CA,Rancho Santa Fe,CA,UCLA
Shelby,Houlihan,F,Track and Field,5000m,none,"5'3""",118,1993-02-08,Sioux City,IA,Sioux City,IA,Beaverton,OR,"Arizona State University '15, Interdisciplinary Studies/Business"
Zach,Ziemek,M,Track and Field,Decathlon,none,"6'4""",195,1993-02-23,Elmhurst,IL,Itasca,IL,Itasca,IL,"University of Wisconsin '16, Nautical Engineering"
Morgan,Brian,F,Soccer,Midfield,none,"5'7""",127,1993-02-26,Kinston,NC,Houston,TX,Smyrna,GA,"University of Virginia '14, Kinesiology"
Kiley,Neushul,F,Water Polo,Attacker,none,"5'8""",145,1993-03-05,Goleta,CA,Isla Vista,CA,Goleta,CA,Stanford 2015
Chrishuna,Williams,F,Track and Field,800m,none,"5'3""",120,1993-03-31,Bossier City,LA,Dallas,TX,Fayetteville,AR,"University of Arkansas '15, Human Development and Life Science"
Maya,DiRado,F,Swimming,"200m Back, 200m IM, 400m IM",none,"5'9""",143,1993-04-05,San Francisco,CA,Santa Rosa,CA,Redwood City,CA,"Stanford University ‘14, Management Science and Engineering"
Race,Imboden,M,Fencing,Foil,2012,"6'1""",165,1993-04-17,Tampa,FL,Brooklyn,NY,Brooklyn,NY,St. John's University
Brooke,Crain,F,Cycling,BMX - Women's,2012-8th,"5'4""",123,1993-04-29,Visalia,CA,Visalia,CA,Visalia,CA,Marian University
Taylor,Ellis-Watson,F,Track and Field,4x400m,none,"6'0""",142,1993-05-06,Philadelphia,PA,Philadelphia,PA,Melbourne,FL,"University of Pittsburgh '15, Psychology"
Micah,Christenson,M,Indoor Volleyball,Setter,none,"6'6""",190,1993-05-08,Honolulu,HI,Honolulu,HI,Redondo Beach,CA,USC
Morgan,Craft,F,Shooting,Skeet,none,"5'3""",140,1993-05-11,Williamsport,PA,Muncy Valley,PA,Hellertown,PA,"Lindenwood University '15, Exercise Science"
Maggie,Steffens,F,Water Polo,Defender,2012-G,"5'8""",165,1993-06-04,San Ramon,CA,Danville,CA,Danville,CA,Stanford 2016
Aaron,Russell,M,Indoor Volleyball,Outside Hitter,none,6-9,205,1993-06-04,Arbutus,MD,Ellicott City,MD,Ellicott City,MD,Penn State
Ashley,Spencer,F,Track and Field,400m Hurdles,none,"5'10""",130,1993-06-08,Indianapolis,IN,Indianapolis,IN,Austin,TX,Illinois '15
DeAnna,Price,F,Track and Field,Hammer Throw,none,5'8,220,1993-06-08,St. Charles,MO,Old Monroe,MO,Carbondale,IL,"Southern Illinois University '16, Accounting"
Ruth,Winder,F,Cycling,Team Pursuit,none,"5'4""",127,1993-07-09,Steeton,United Kingdom,Lafayette,CA,Lafayette,CA,"Winder Academy (Lafayette, Calif.) '12"
Katharine,Holmes,F,Fencing,Epee,none,"5'11""",175,1993-07-15,"Washington, D.C.",DC,"Washington, D.C.",DC,Princeton,NJ,"Princeton University '17, Neuroscience"
Matt,Baranoski,M,Cycling,Keirin,none,"6'0""",212,1993-07-27,Perkasie,PA,Perkasie,PA,Perkasie,PA,"Penn State University '16, Electrical Engineering"
Josh,Prenot,M,Swimming,200m Breast,none,"5'11""",167,1993-07-28,Sedalia,MO,Berkeley,CA,Berkeley,CA,"University of California - Berkeley '17, Physics"
Kevin,Cordes,M,Swimming,"100m Breast, 200m Breast",none,"6'5""",193,1993-08-13,Chicago,IL,Naperville,IL,Naperville,IL,"University of Arizona ‘15, Business"
Darrell,Hill,M,Track and Field,Shot Put,none,"6'3""",320,1993-08-17,Darby,PA,Darby,PA,State College,PA,"Penn State University '15, Rehabiliation and Human Service"
Alex,Bowen,M,Water Polo,Attacker,none,"6'5""",220,1993-09-04,San Diego,CA,Santee,CA,Santee,CA,Stanford 2015
Thomas,Jaeschke,M,Indoor Volleyball,Outside Hitter,none,6-6,200,1993-09-04,Wheaton,IL,Wheaton,IL,Wheaton,IL,Loyola University Chicago
Michal,Smolen,M,Canoe (Slalom),K1,none,"5'11""",155,1993-09-13,Krakow,Poland,Charlotte,NC,Gastonia,NC,Queens University
Jacob,Pebley,M,Swimming,200m Back,none,"6'4""",190,1993-09-17,Albany,OR,Corvallis,OR,Berkeley,CA,"University of California – Berkeley ‘16, Psychology"
Isabella,Isaksen,F,Pentathlon,Women's,none,"5'8""",139,1993-11-22,Fayetteville,AR,Fayetteville,AR,Colorado Springs,CO,"DeVry University '16, Environmental Sustainability"
Rachel,Fattal,F,Water Polo,Attacker,none,"5'8""",145,1993-12-10,Los Alamitos,CA,Seal Beach,CA,Seal Beach,CA,UCLA 2016
Jenny,Arthur,F,Weightlifting,69 kg.,None,"5'5""",165,1993-12-11,Gainesville,GA,Gainesville,GA,Colorado Springs,CO,Chestatee High School (2012)
Marvin,Bracy,M,Track and Field,100m,none,"5'9""",171,1993-12-15,Orlando,FL,Orlando,FL,Clermont,FL,Florida State University
Maggie,Malone,F,Track and Field,Javelin Throw,none,"5'8""",170,1993-12-30,College Station,TX,Geneva,NE,College Station,TX,"Texas A&M University '17, Human Resources"
Brad,Adkins,M,Track and Field,High Jump,none,"6'2""",175,1993-12-30,Lubbock,TX,Idalou,TX,Lubbock,TX,Texas Tech University '16
Bret,Bonanni,M,Water Polo,Attacker,none,"6'4""",205,1994-01-20,Newport Beach,CA,Huntington Beach,CA,Huntington Beach,CA,Stanford 2016
Arman,Hall,M,Track and Field,4x400m,none,"6'0""",165,1994-02-12,Miami,FL,Pembroke Pines,FL,Pembroke Pines,FL,"University of Florida '17, African American Studies"
Chase,Kalisz,M,Swimming,400m IM,none,"6'4""",190,1994-03-07,Baltimore,MD,Bel Air,MD,Bel Air,MD,"University of Georgia '16, Business"
Courtney,Okolo,F,Track and Field,4x400m,none,"5'8""",130,1994-03-15,Dallas,TX,Carrollton,TX,Austin,TX,"University of Texas, 16"
Alexander,Massialas,M,Fencing,Foil,2012,"6'2""",180,1994-04-20,San Francisco,CA,San Francisco,CA,San Francisco,CA,"Stanford University, Engineering"
Jordan,Wilimovsky,M,Swimming,"10K Open Water; 1,500m free",none,"5'9""",150,1994-04-22,Malibu,CA,Malibu,CA,Mailbu,CA,Northwestern University - Political Science (2016)
Jarrion,Lawson,M,Track and Field,Long Jump,none,"6'2""",172,1994-05-06,Texarkana,TX,Texarkana,TX,Fayetteville,AR,University of Arkansas
Ajeé,Wilson,F,Track and Field,800m,none,"5'8""",135,1994-05-08,Philadelphia,PA,Philadelphia,PA,Philadelphia,PA,"Temple University '16, Kinesiology"
Phillip,Chew,M,Badminton,Doubles,none,"5'8""",200,1994-05-16,Anaheim,CA,Orange,CA,Orange,CA,"University of California - Irvine '19, Business Economics"
Morolake,Akinosun,F,Track and Field,4x100m,none,"5'4""",135,1994-05-17,Lagos,Nigeria,Chicago,IL,Austin,TX,"University of Texas '16, Exercise Science"
Aly,Raisman,F,Gymnastics,Artistic – Team,"2012-2G, 1B","5'2""",115,1994-05-25,Boston,MA,Needham,MA,Needham,MA,"Needham High School '12 (Needham Heights, Mass.)"
Lindsey,Horan,F,Soccer,Forward,none,5'9',165,1994-05-26,Wheat Ridge,CO,Golden,CO,Golden,CO,--
Alyssa,Manley,F,Field Hockey,Defender,none,"5'2""",118,1994-05-27,Lancaster,PA,Lititz,PA,Lititz,PA,Syracuse University (2016 grad) - Child and Family studies
Ben,Pinkelman,M,Rugby,Forward,none,"6'4""",220,1994-06-13,Omaha,NE,Centennial,CO,Centennial,CO,"Colorado State University '16, Criminal Justice"
Lee,Kiefer,F,Fencing,Foil,2012,"5'4""",107,1994-06-15,Cleveland,OH,Lexington,KY,Lexington,KY,"University of Notre Dame '13, Premed"
Jessica,Parratto,F,Diving,"10m Synchro, 10m Individual",none,"5'2""",112,1994-06-26,Bloomington,IN,Dover,NH,Bloomington,IN,"Indiana University '18, Liberal Studies"
David,Higgins,M,Shooting,Prone,none,"5'9""",150,1994-06-27,La Jolla,CA,San Clemente,CA,Colorado Springs,CO,"Air Force Academy '16, Economics"
Hali,Flickinger,F,Swimming,200m Fly,none,"5'5""",115,1994-07-07,York,PA,Spring Grove,PA,Athens,GA,"University of Georgia '17, Finance"
Kelsi,Worrell,F,Swimming,100m Fly,none,"5'11""",165,1994-07-15,Voorhees,NJ,Westampton,NJ,Louisville,KY,"University of Louisville '16, Exercise Science"
Michael,Hixon,M,Diving,"3m Synchro, 3m Individual",none,"5'8""",150,1994-07-16,Amherst,MA,Amherst,MA,Bloomington,IN,"Indiana University '18, Economic Consulting and Public Policy"
Shelbi,Vaughan,F,Track and Field,Discus Throw,none,"6'0""",280,1994-08-24,Weatherford,TX,Weatherford,TX,Weatherford,TX,"Texas A&M University '16, Sports Management"
Breanna,Stewart,F,Basketball,Forward/Center,none,"6'4""",175,1994-08-27,Syracuse,NY,North Syracuse,NY,North Syracuse,NY,University of Connecticut '16
Iris,Wang,F,Badminton,Singles,none,"5'3""",115,1994-09-02,Pasadena,CA,Arcadia,CA,Arcadia,CA,"University of California - Los Angeles '19, Business Economics"
Ashleigh,Johnson,F,Water Polo,Goalkeeper,none,"6'1""",180,1994-09-12,Miami,FL,Miami,FL,Long Beach,CA,Princeton 2017
Jack,Conger,M,Swimming,4x200m Free,none,"6'4""",175,1994-09-26,Rockville,MD,Rockville,MD,Rockville,MD,"University of Texas ‘18, Corporate Communications"
Olivia,Smoliga,F,Swimming,100m Back,none,"6'2""",165,1994-10-12,Phoenix,AZ,Chicago,IL,Athens,GA,"Univeristy of Georgia '16, Exercise and Sport Science"
Haley,Augello,F,Wrestling,Freestyle 48 kg.,none,"5'2""",118,1994-10-17,Lockport,IL,Lockport,IL,Colorado Springs,CO,King University
Alisa,Kano,F,Gymnastics,Rhythmic group,none,"5'4""",105,1994-11-07,Tokyo,Japan,New York,NY,Glencoe,IL,"Oakton Community College, Undeclared"
Rudy,Winkler,M,Track and Field,Hammer Throw,none,"6'2""",240,1994-12-06,Albany,NY,Ithaca,NY,Ithaca,NY,"Cornell University '17, Information Science"
Devon,Allen,M,Track and Field,110m Hurdles,none,"6'1""",185,1994-12-12,Eugene,OR,Eugene,OR,Eugene,OR,"University of Oregon '17, Business"
Jennifer,Valente,F,Cycling,Team Pursuit,none,"5'9""",165,1994-12-24,San Diego,CA,San Diego,CA,Colorado Springs,CO,"University of Colorado-Colorado Springs, Undeclared"
Alex,Roelse,M,Water Polo,Defender,none,"6'8""",255,1995-01-10,Netherlands,Netherlands,Westwoods,CA,Los Angeles,CA,UCLA 2018
Lia,Neal,F,Swimming,4x100m Free,2012 - B,"5'10""",165,1995-02-13,Brooklyn,NY,Brooklyn,NY,Brooklyn,NY,"Stanford Univeristy '17, Science, Technology and Society"
Clayton,Murphy,M,Track and Field,800m,none,"5'11""",150,1995-02-26,Greenville,OH,Akron,OH,Akron,OH,"University of Akron '17, Corporate Finance"
J'den,Cox,M,Wrestling,Freestyle 86 kg.,none,"5'11""",189,1995-03-03,Columbia,MO,Columbia,MO,Columbia,MO,University of Missouri (2017)
Mackenzie,Brown,F,Archery,Individual,none,"5'10""",165,1995-03-14,Tyler,TX,Flint,TX,Chula Vista,CA,"Homeschooled (Tyler, Texas) '13"
Claressa,Shields,F,Boxing,Middleweight - 75 kg.,2012-G,"5'9""",165,1995-03-17,Flint,MI,Flint,MI,Colorado Springs,CO,Flint Northwestern High School '13
Zach,Garrett,M,Archery,"Individual, Team",none,"5'10""",140,1995-04-08,Chula Vista,CA,Wellington,MO,Chula Vista,CA,"Wellington-Napoleon High School (Wellington, Mo.) '13"
Clark,Smith,M,Swimming,4x200m Free,none,"6'9""",198,1995-04-17,Atlanta,GA,Denver,CO,Parker,CO,"University of Texas '17, Kinesiology"
Leah,Smith,F,Swimming,"400m Free, 800m Free, 4x200m Free",none,"5'9""",149,1995-04-19,Pittsburgh,PA,Pittsburgh,PA,Charlottesville,VA,"University of Virginia '17, Media Studies"
Kassidy,Cook,F,Diving,3m Individual,none,"5'4""",125,1995-05-09,Plantation,FL,The Woodlands,TX,The Woodlands,TX,"Stanford '17, Communications/Advertising"
Byron,Robinson,M,Track and Field,400m Hurdles,none,"5'9""",165,1995-05-10,Richmond,VA,Chesapeake,VA,Austin,TX,"University of Texas '17, Government"
Missy,Franklin,F,Swimming,"200m Back, 200m Free, 4x200m Free","2012-4G, 1B","6'2""",170,1995-05-10,Pasadena,CA,Centennial,CO,Centennial,CO,"Regis Jesuit High School (Aurora, Colo.) ‘13"
Deajah,Stevens,F,Track and Field,200m,none,"5'9""",142,1995-05-19,Baltimore,MD,Bayside,NY,Eugene,OR,University of Oregon
Lucas,Kozeniesky,M,Shooting,Air,none,"5'11""",175,1995-05-31,Meterie,LA,Fairfax,VA,Camp Lejeune,NC,"North Carolina State University '17, Sport Management"
